name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
G.Skill Trident Z5 RGB 64 GB,209.99,"5,6000","2,32",3.28109375,White / Black,10.667,32.0,DDR5,6000,2,32,64
Silicon Power XPOWER Gaming 16 GB,,"4,3000","2,8",,Black / Silver,10.667,16.0,DDR4,3000,2,8,16
TEAMGROUP Elite 8 GB,,"5,4800","1,8",,Black,16.667,40.0,DDR5,4800,1,8,8
TEAMGROUP T-Force Delta RGB 64 GB,168.99,"5,5600","2,32",2.64046875,Black,12.857,36.0,DDR5,5600,2,32,64
Kingston FURY Renegade Pro 32 GB,196.8,"5,4800","1,32",6.15,Black,15.0,36.0,DDR5,4800,1,32,32
Kingston KVR16E11K4/32 32 GB,123.78,"3,1600","4,8",3.868125,Green,13.75,11.0,DDR3,1600,4,8,32
G.Skill Aegis 32 GB,,"4,2133","2,16",,Black / Red,14.065,15.0,DDR4,2133,2,16,32
TEAMGROUP T-Force Vulcan 32 GB,92.99,"5,5600","2,16",2.9059375,Red,11.429,32.0,DDR5,5600,2,16,32
Mushkin Redline 32 GB,,"4,4000","2,16",,White,9.0,18.0,DDR4,4000,2,16,32
TEAMGROUP T-Create Master 64 GB,420.99,"5,6000","4,16",6.57796875,Black,10.667,32.0,DDR5,6000,4,16,64
TEAMGROUP Xtreem ARGB 48 GB,,"5,8000","2,24",,White,9.5,38.0,DDR5,8000,2,24,48
G.Skill Sniper 16 GB,71.29,"3,2400","4,4",4.455625,Black / Red,9.167,11.0,DDR3,2400,4,4,16
G.Skill Ripjaws 16 GB,,"4,2400","4,4",,Black / Red,12.5,15.0,DDR4,2400,4,4,16
Corsair Vengeance RGB Pro 16 GB,59.99,"4,3200","2,8",3.749375,Black,10.0,16.0,DDR4,3200,2,8,16
Klevv CRAS XR5 RGB 32 GB,134.29,"5,7000","2,16",4.1965625,White / Black,10.286,36.0,DDR5,7000,2,16,32
Kingston Fury Renegade RGB 16 GB,125.99,"5,8000","1,16",7.874375,Silver / White,9.5,38.0,DDR5,8000,1,16,16
Corsair Vengeance 12 GB,84.98,"3,1600","3,4",7.081666666666667,Black / Silver,11.25,9.0,DDR3,1600,3,4,12
Crucial CT51264BD160BJ 4 GB,11.5,"3,1600","1,4",2.875,Black / Green,13.75,11.0,DDR3,1600,1,4,4
Kingston ValueRAM 8 GB,42.95,"4,2133","1,8",5.36875,Black / Green,14.065,15.0,DDR4,2133,1,8,8
