name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,ram_type,speed_mhz,num_sticks,gb_per_stick,capacity_gb
Patriot Viper 3 Low Profile Black 8 GB,77.4,"3,1866","2,4",9.675,Black / Silver,9.646,9.0,DDR3,1866,2,4,8
Kingston ValueRAM 48 GB,399.6,"3,1600","3,16",8.325000000000001,Black / Green,13.75,11.0,DDR3,1600,3,16,48
Kingston KVR1333D3E9S/4G 4 GB,18.8,"3,1333","1,4",4.7,Black / Green,13.503,9.0,DDR3,1333,1,4,4
Mushkin Proline 32 GB,100.83,"3,1333","1,32",3.1509375,Silver,13.503,9.0,DDR3,1333,1,32,32
Samsung M393A1G43DB0-CPB0 8 GB,22.18,"4,2133","1,8",2.7725,Black / Green,14.065,15.0,DDR4,2133,1,8,8
Kingston KTL-TS421/16G 16 GB,149.9,"4,2133","1,16",9.36875,Green,14.065,15.0,DDR4,2133,1,16,16
Kingston KVR18L13Q4/32 32 GB,68.98,"3,1866","1,32",2.155625,Gray,13.934,13.0,DDR3,1866,1,32,32
Kingston KVR1333D3E9SK2/16G 16 GB,125.0,"3,1333","2,8",7.8125,Green,13.503,9.0,DDR3,1333,2,8,16
Kingston KVR16LE11/8I 8 GB,38.99,"3,1600","1,8",4.87375,Green,13.75,11.0,DDR3,1600,1,8,8
G.Skill Ripjaws 4 8 GB,38.53,"4,2666","2,4",4.81625,Black / Red,11.253,15.0,DDR4,2666,2,4,8
G.Skill NT 8 GB,59.0,"4,2400","2,4",7.375,Black,12.5,15.0,DDR4,2400,2,4,8
Patriot Viper 3 8 GB,81.94,"3,2400","2,4",10.2425,Red / Silver,8.333,10.0,DDR3,2400,2,4,8
Patriot Viper 4 8 GB,55.68,"4,2400","2,4",6.96,Black / Red,12.5,15.0,DDR4,2400,2,4,8
Crucial CT51264BF186DJ 4 GB,16.48,"3,1866","1,4",4.12,Black / Green,13.934,13.0,DDR3,1866,1,4,4
Crucial CT2KIT102464BF186D 16 GB,28.68,"3,1866","2,8",1.7925,Black / Green,13.934,13.0,DDR3,1866,2,8,16
G.Skill Ripjaws 8 GB,30.6,"4,2400","2,4",3.825,Black,13.333,16.0,DDR4,2400,2,4,8
Corsair ValueSelect 16 GB,72.98,"4,2133","1,16",4.56125,Black,14.065,15.0,DDR4,2133,1,16,16
Kingston ValueRAM 8 GB,19.98,"4,2133","1,8",2.4975,Black / Green,14.065,15.0,DDR4,2133,1,8,8
Crucial CT2K51264BF186DJ 8 GB,39.99,"3,1866","2,4",4.99875,Black / Green,13.934,13.0,DDR3,1866,2,4,8
Kingston KCP421NS8/4 4 GB,32.99,"4,2133","1,4",8.2475,Black / Green,14.065,15.0,DDR4,2133,1,4,4
Patriot Viper 4 8 GB,77.54,"4,3600","2,4",9.6925,Red / Black,9.444,17.0,DDR4,3600,2,4,8
Kingston ValueRAM 16 GB,89.95,"4,2400","1,16",5.621875,Green,14.167,17.0,DDR4,2400,1,16,16
Kingston KVR24S17S6/4 4 GB,24.5,"4,2400","1,4",6.125,Green / Black,14.167,17.0,DDR4,2400,1,4,4
Corsair Dominator Platinum RGB 32 GB,176.86,"4,3200","4,8",5.526875,Black,10.0,16.0,DDR4,3200,4,8,32
