name,price,socket,form_factor,max_memory,memory_slots,color,has_integrated_cpu,primary_socket,ram_type,price_is_predicted
Asus PRIME B760M-A AX D4,183.50804380952263,LGA1700,Micro ATX,128,4,Silver / Black,False,LGA1700,DDR5,True
Gigabyte B760M C V2 (rev. 1.0),183.50804380952263,LGA1700,Micro ATX,192,4,Unknown,False,LGA1700,DDR5,True
Asus ROG STRIX B460-H GAMING,293.39534270247475,LGA1200,ATX,128,4,Black / Red,False,LGA1200,DDR4,True
ASRock B860M Pro RS,149.99,LGA1851,Micro ATX,256,4,Silver / Black,False,LGA1851,DDR5,False
Asus PRIME A320M-E,237.0,AM4,Micro ATX,64,2,Black / Silver,False,AM4,DDR4,False
Asus PRIME H610M-K ARGB,130.4496284802125,LGA1700,Micro ATX,96,2,Black,False,LGA1700,DDR5,True
ASRock EP2C602-4L/D16,147.56227231658653,2 x LGA2011,SSI EEB,512,16,Blue / White,False,LGA2011,DDR3,True
Asus Z170-P,395.21514916126625,LGA1151,ATX,64,4,Black / Gold,False,LGA1151,DDR4,True
Gigabyte GA-Z170X-Gaming 7,425.15198551156755,LGA1151,ATX,64,4,Black / Red,False,LGA1151,DDR4,True
Asus H110-PLUS,154.76993546184337,LGA1151,ATX,32,2,Black / Gold,False,LGA1151,DDR4,True
MSI B250M PRO-VDH,216.9828395114109,LGA1151,Micro ATX,64,4,Brown / Black,False,LGA1151,DDR4,True
ASRock X370 KILLER SLI/ac,446.071811403207,AM4,ATX,64,4,Black / White,False,AM4,DDR4,True
Gigabyte Z370 AORUS Gaming 5 (rev. 1.0),400.927832121169,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Gigabyte B360M D3H,227.20519752878113,LGA1151,Micro ATX,64,4,Silver / Black,False,LGA1151,DDR4,True
MSI X470 GAMING PRO MAX,419.7078436804381,AM4,ATX,128,4,Black / Silver,False,AM4,DDR4,True
MSI PRO H510M-B II,130.08040845928295,LGA1200,Micro ATX,64,2,Black,False,LGA1200,DDR4,True
ASRock A620AI WiFi,,AM5,Mini ITX,128,2,Black,False,AM5,DDR5,False
MSI MAG B460 TOMAHAWK,278.99,LGA1200,ATX,128,4,Black / Silver,False,LGA1200,DDR4,False
ASRock B660M Steel Legend,196.832694431107,LGA1700,Micro ATX,128,4,Silver / Black,False,LGA1700,DDR5,True
ASRock X79 Extreme7,284.61,LGA2011,ATX,48,6,Black / Silver,False,LGA2011,DDR3,False
MSI MAG A520M VECTOR WIFI,176.8,AM4,Micro ATX,64,2,Black,False,AM4,DDR4,False
Gigabyte A520M AORUS ELITE,121.19086645551323,AM4,Micro ATX,128,4,Black / Orange,False,AM4,DDR4,True
Asus M5A99FX PRO R2.0,,AM3+,ATX,32,4,Black / Blue,False,AM3+,DDR3,False
Asus Z170-E,395.21514916126625,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Asus PRIME Z370-A II,329.9368904014984,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
MSI H510M PRO,130.08040845928295,LGA1200,Micro ATX,64,2,Beige,False,LGA1200,DDR4,True
Biostar A520MHP,,AM4,Micro ATX,64,2,Black,False,AM4,DDR4,False
ASRock H610M-HVS,110.91,LGA1700,Micro ATX,64,2,Gray / Black,False,LGA1700,DDR5,False
Asus ROG STRIX B760-G GAMING WIFI D4,255.3993349104899,LGA1700,Micro ATX,128,4,Silver / Black,False,LGA1700,DDR5,True
Asus PRIME H270-PLUS-CSM,267.3138710391722,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Gigabyte B360 AORUS Gaming 3 WIFI,340.87908387122644,LGA1151,ATX,64,4,Black / Orange,False,LGA1151,DDR4,True
Gigabyte Z390 M GAMING,304.1602493123913,LGA1151,Micro ATX,128,4,Black / Red,False,LGA1151,DDR4,True
Asus Pro WS X299 SAGE II,229.17285406731884,LGA2066,SSI CEB,256,8,Black / Silver,False,LGA2066,DDR4,True
Asus ROG STRIX Z590-F GAMING WIFI,445.2402526115538,LGA1200,ATX,128,4,Black / Silver,False,LGA1200,DDR4,True
ASRock B860M-H2,119.99,LGA1851,Micro ATX,128,2,Black / Silver,False,LGA1851,DDR5,False
Asus Pro Q670M-C-CSM,199.99,LGA1700,Micro ATX,128,4,Green / Black,False,LGA1700,DDR5,False
Intel DB65ALB3,,LGA1155,Micro ATX,32,4,Unknown,False,LGA1155,DDR3,False
Gigabyte GA-Z97X-Gaming 3,328.70813929491675,LGA1150,ATX,32,4,Black / Red,False,LGA1150,DDR4,True
Asus PRIME B650M-A AX,192.22608069984483,AM5,Micro ATX,128,4,Black / Silver,False,AM5,DDR5,True
MSI MAG X570S TORPEDO MAX,451.6075617287118,AM4,ATX,128,4,Blue / Black,False,AM4,DDR4,True
Asus P8H61-M LX3 R2.0,,LGA1155,Micro ATX,16,2,Black / Blue,False,LGA1155,DDR3,False
ASRock Fatal1ty X99M Killer,396.4226259166351,LGA2011-3,Micro ATX,64,4,Black / Red,False,LGA2011-3,DDR4,True
ASRock H110M-HDV,154.76993546184337,LGA1151,Micro ATX,32,2,Black / Orange,False,LGA1151,DDR4,True
Gigabyte GA-AB350M-D3H,,AM4,Micro ATX,64,4,Black / Gray,False,AM4,DDR4,False
Asus ROG Strix Z370-H Gaming,400.927832121169,LGA1151,ATX,64,4,Black / Red,False,LGA1151,DDR4,True
Gigabyte X470 AORUS GAMING 5 WIFI,465.44877742124646,AM4,ATX,64,4,Black / Orange,False,AM4,DDR4,True
ASRock B365 Pro4,227.20519752878113,LGA1151,ATX,64,4,Black / Silver,False,LGA1151,DDR4,True
Gigabyte Z790 AORUS ELITE AX-W,585.41,LGA1700,ATX,192,4,Silver / Black,False,LGA1700,DDR5,False
Gigabyte Z690 AORUS ULTRA,357.91,LGA1700,ATX,192,4,Black,False,LGA1700,DDR5,False
Gigabyte B860 DS3H,225.05,LGA1851,ATX,256,4,Silver / Black,False,LGA1851,DDR5,False
ASRock X570S PG Riptide,451.6075617287118,AM4,ATX,128,4,Black,False,AM4,DDR4,True
Asus ROG STRIX Z690-A GAMING WIFI,423.64810764550043,LGA1700,ATX,192,4,Black / Silver,False,LGA1700,DDR5,True
Gigabyte Z390 DESIGNARE,413.0,LGA1151,ATX,128,4,Black / Silver,False,LGA1151,DDR4,False
Asus PRIME H610M-D D4,139.4,LGA1700,Micro ATX,64,2,Silver / Black,False,LGA1700,DDR5,False
MSI B450M PRO-VDH PLUS,127.21639556887317,AM4,Micro ATX,128,4,Black,False,AM4,DDR4,True
Gigabyte GA-Z77X-UD3H,298.6619617628144,LGA1155,ATX,32,4,Black / Blue,False,LGA1155,DDR3,True
Asus Sabertooth 990FX R2.0,,AM3+,ATX,32,4,Brown / Black,False,AM3+,DDR3,False
ASRock X470 Taichi,424.8390342690371,AM4,ATX,64,4,Black / Silver,False,AM4,DDR4,True
MSI PRO B760M-B,162.08828776653243,LGA1700,Micro ATX,96,2,Black,False,LGA1700,DDR5,True
Asus TUF GAMING B860M-PLUS,244.56,LGA1851,Micro ATX,256,4,Black / Silver,False,LGA1851,DDR5,False
ASRock Z690 Phantom Gaming-ITX/TB4,368.3960998409951,LGA1700,Mini ITX,96,2,Black / Red,False,LGA1700,DDR5,True
MSI Z370 SLI PLUS,381.49,LGA1151,ATX,64,4,Black / Gray,False,LGA1151,DDR4,False
Gigabyte GA-H110-D3A,154.76993546184337,LGA1151,ATX,32,2,Black,False,LGA1151,DDR4,True
ASRock H670M-ITX/ax,133.6440622892921,LGA1700,Mini ITX,64,2,Silver / Black,False,LGA1700,DDR5,True
Gigabyte GA-H110M-S2H,154.76993546184337,LGA1151,Micro ATX,32,2,Black,False,LGA1151,DDR4,True
Asus ROG STRIX Z270i GAMING,,LGA1151,Mini ITX,32,2,Black / Silver,False,LGA1151,DDR4,False
Gigabyte X470 AORUS GAMING 7 WIFI,465.44877742124646,AM4,ATX,64,4,Black / Orange,False,AM4,DDR4,True
