name,price,type,color,psu,side_panel,external_volume,internal_35_bays,form_factor_family,has_builtin_psu,estimated_max_gpu_length,is_estimated_gpu_clearance
Montech XR,83.59,ATX Mid Tower,Black,0.0,Tempered Glass,45.0,2,ATX,True,350,True
Phanteks XT PRO,67.98,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,2,ATX,True,350,True
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.0,1,ATX,True,350,True
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,0.0,Tempered Glass,55.9,2,ATX,True,350,True
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,0.0,Acrylic,33.6,1,MicroATX,True,300,True
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,48.6,2,ATX,True,350,True
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,0.0,Tempered Glass,45.5,2,ATX,True,350,True
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,0.0,Tempered Glass,57.4,2,ATX,True,350,True
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,0.0,Tempered Glass,55.9,2,ATX,True,350,True
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,0.0,Tempered Glass,36.1,2,MicroATX,True,330,True
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,0.0,Tempered Glass,54.2,2,ATX,True,350,True
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,0.0,Mesh,26.3,1,MicroATX,True,300,True
Fractal Design North,139.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.1,2,ATX,True,350,True
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Fractal Design North XL,179.99,ATX Full Tower,Black,0.0,Tinted Tempered Glass,61.4,2,ATX,True,400,True
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,Black,0.0,Tempered Glass,57.4,2,ATX,True,350,True
NZXT H5 Flow (2024),59.99,ATX Mid Tower,White,0.0,Tempered Glass,45.0,1,ATX,True,350,True
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,0.0,Mesh,26.3,1,MicroATX,True,300,True
Phanteks XT PRO ULTRA,80.98,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,2,ATX,True,350,True
NZXT H9 Flow (2023),99.99,ATX Mid Tower,White,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Montech XR,79.89,ATX Mid Tower,White,0.0,Tempered Glass,45.0,2,ATX,True,350,True
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,Black,0.0,Tempered Glass,65.3,4,ATX,True,350,True
NZXT H6 Flow,109.97,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Montech AIR 903 BASE,64.98,ATX Mid Tower,Black,0.0,Tempered Glass,54.2,2,ATX,True,350,True
HYTE Y70 Touch Infinite,564.4,ATX Mid Tower,Black,0.0,Tempered Glass,70.7,2,ATX,True,350,True
NZXT H6 Flow,89.97,ATX Mid Tower,White,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Corsair FRAME 4000D RS ARGB,104.99,ATX Mid Tower,Black,0.0,Tempered Glass,56.7,2,ATX,True,350,True
NZXT H3 Flow,69.98,MicroATX Mid Tower,Black,0.0,Tinted Tempered Glass,35.0,1,MicroATX,True,330,True
Fractal Design Terra,179.99,Mini ITX Desktop,Black / Brown,0.0,Mesh,11.4,0,Mini ITX,True,280,True
Antec C5 ARGB,114.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,1,ATX,True,350,True
Fractal Design Pop XL Air,119.97,ATX Full Tower,Black,0.0,Tempered Glass,62.4,3,ATX,True,400,True
Lian Li LANCOOL 217,127.5,ATX Mid Tower,Black / Brown,0.0,Tempered Glass,57.7,1,ATX,True,350,True
Lian Li O11 Dynamic EVO XL,254.98,ATX Full Tower,Black,0.0,Tempered Glass,84.4,4,ATX,True,400,True
Montech KING 95 PRO,148.98,ATX Mid Tower,Black,0.0,Tempered Glass,63.0,5,ATX,True,350,True
Fractal Design Meshify C,109.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,40.6,2,ATX,True,350,True
Cooler Master MasterBox NR200,67.29,Mini ITX Desktop,Black,0.0,Unknown,20.3,2,Mini ITX,True,280,True
Okinos Aqua 3,64.98,MicroATX Mini Tower,Black,0.0,Tempered Glass,28.8,2,MicroATX,True,300,True
Lian Li LANCOOL 216 RGB,102.97,ATX Mid Tower,Black,0.0,Tempered Glass,55.6,2,ATX,True,350,True
HYTE Y70,219.99,ATX Mid Tower,White,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Fractal Design Pop Air,79.99,ATX Mid Tower,Black,0.0,Tempered Glass,46.2,2,ATX,True,350,True
NZXT H7 Flow (2024),129.99,ATX Mid Tower,Black,0.0,Tempered Glass,62.1,2,ATX,True,350,True
MUSETEX Y6,85.48,ATX Mid Tower,White,0.0,Tempered Glass,40.9,2,ATX,True,350,True
Corsair 3000D AIRFLOW,94.99,ATX Mid Tower,Black,0.0,Tempered Glass,49.5,2,ATX,True,350,True
Lian Li O11 Vision,142.99,ATX Mid Tower,Black,0.0,Tempered Glass,67.8,2,ATX,True,350,True
Fractal Design North,139.99,ATX Mid Tower,Black,0.0,Mesh,45.1,2,ATX,True,350,True
HYTE Y70,219.99,ATX Mid Tower,Black,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,White,0.0,Tempered Glass,65.3,4,ATX,True,350,True
Montech X3 Mesh,54.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Cooler Master Elite 301 Lite,64.94,MicroATX Mini Tower,Black,0.0,Tempered Glass,34.1,1,MicroATX,True,300,True
Fractal Design Terra,179.99,Mini ITX Desktop,Green / Brown,0.0,Mesh,11.4,0,Mini ITX,True,280,True
Corsair FRAME 4000D,104.99,ATX Mid Tower,Black,0.0,Tempered Glass,56.7,2,ATX,True,350,True
NZXT H6 Flow RGB,129.97,ATX Mid Tower,White,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Asus Prime AP201,89.97,MicroATX Mini Tower,Black,0.0,Mesh,33.0,3,MicroATX,True,300,True
Montech XR Wood,79.9,ATX Mid Tower,Black / Brown,0.0,Tempered Glass,49.8,2,ATX,True,350,True
Deepcool CH160,,Mini ITX Desktop,Black,0.0,Tempered Glass,19.1,1,Mini ITX,True,280,True
Montech X5M,56.0,MicroATX Mini Tower,Black,0.0,Tempered Glass,45.3,2,MicroATX,True,300,True
Lian Li A3-mATX,89.99,MicroATX Mini Tower,White / Brown,0.0,Tempered Glass,26.3,1,MicroATX,True,300,True
Antec C8,99.99,ATX Full Tower,Black,0.0,Tempered Glass,66.9,2,ATX,True,400,True
Thermaltake Versa H18,118.5,MicroATX Mini Tower,Black,0.0,Acrylic,30.4,2,MicroATX,True,300,True
Silverstone ALTA F2,1062.27,ATX Full Tower,Black,0.0,Tempered Glass,98.9,8,ATX,True,400,True
NZXT H6 Flow RGB,134.97,ATX Mid Tower,Black,0.0,Tempered Glass,51.8,1,ATX,True,350,True
Corsair 5000D AIRFLOW,174.99,ATX Mid Tower,Black,0.0,Tempered Glass,66.2,2,ATX,True,350,True
Fractal Design Ridge PCIe 4.0,129.99,Mini ITX Tower,Black,0.0,Mesh,16.3,0,Mini ITX,True,320,True
Corsair 3500X,99.99,ATX Mid Tower,Black,0.0,Tempered Glass,55.9,2,ATX,True,350,True
NZXT H9 Elite,169.97,ATX Mid Tower,White,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Zalman T3 PLUS,39.5,MicroATX Mid Tower,Black,0.0,Tempered Glass,30.9,1,MicroATX,True,330,True
Antec FLUX PRO,164.99,ATX Full Tower,Black / Brown,0.0,Tempered Glass,70.8,4,ATX,True,400,True
Cooler Master Elite 301,49.99,MicroATX Mid Tower,Black,0.0,Tempered Glass,34.1,1,MicroATX,True,330,True
Lian Li O11 Dynamic EVO XL,249.99,ATX Full Tower,White,0.0,Tempered Glass,84.4,4,ATX,True,400,True
Jonsbo Jonsplus Z20,99.0,MicroATX Desktop,Black,0.0,Tempered Glass,25.3,1,MicroATX,True,280,True
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,Black,0.0,Tempered Glass,36.5,2,MicroATX,True,330,True
Azza Fighter,59.99,ATX Mid Tower,Black,0.0,Tempered Glass,34.2,2,ATX,True,350,True
Fractal Design North XL,194.97,ATX Full Tower,Black,0.0,Mesh,61.4,2,ATX,True,400,True
Corsair 4000D Airflow,103.59,ATX Mid Tower,White,0.0,Tinted Tempered Glass,48.6,2,ATX,True,350,True
MSI MAG FORGE 321R AIRFLOW,89.99,ATX Mid Tower,Black,0.0,Tempered Glass,49.4,2,ATX,True,350,True
Jonsbo D32 PRO,71.99,MicroATX Desktop,Black,0.0,Tempered Glass,25.7,2,MicroATX,True,280,True
Lian Li A4-H20 X4,154.99,Mini ITX Desktop,Black,0.0,Mesh,11.1,0,Mini ITX,True,280,True
Lian Li O11 Vision,138.97,ATX Mid Tower,White,0.0,Tempered Glass,67.8,2,ATX,True,350,True
Fractal Design North,139.99,ATX Mid Tower,White,0.0,Tempered Glass,45.1,2,ATX,True,350,True
Antec C5 ARGB,104.99,ATX Mid Tower,White,0.0,Tempered Glass,45.8,1,ATX,True,350,True
Okinos Cypress 3,64.98,MicroATX Mini Tower,Black / Brown,0.0,Tempered Glass,31.35,2,MicroATX,True,300,True
Fractal Design Focus G,59.99,ATX Mid Tower,Black,0.0,Acrylic,42.2,2,ATX,True,350,True
Thermaltake View 170 ARGB,62.99,MicroATX Mini Tower,Black,0.0,Tempered Glass,35.0,1,MicroATX,True,300,True
NZXT H5 Flow RGB (2024),119.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.0,1,ATX,True,350,True
Fractal Design Terra,179.99,Mini ITX Desktop,Silver / Brown,0.0,Mesh,11.4,0,Mini ITX,True,280,True
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,76.7,2,ATX,True,350,True
Lian Li Lancool 207,89.99,ATX Mid Tower,White,0.0,Tempered Glass,45.5,2,ATX,True,350,True
NZXT H9 Elite,211.99,ATX Mid Tower,Black,0.0,Tempered Glass,66.9,2,ATX,True,350,True
Corsair 7000D AIRFLOW,289.99,ATX Full Tower,Black,0.0,Tempered Glass,81.8,6,ATX,True,400,True
Lian Li ODYSSEY X,1468.05,ATX Full Tower,Black,0.0,Tempered Glass,74.8,3,ATX,True,400,True
Lian Li LANCOOL 216,111.97,ATX Mid Tower,Black,0.0,Tempered Glass,55.6,2,ATX,True,350,True
Thermaltake View 270 Plus TG ARGB,78.99,ATX Mid Tower,Black,0.0,Tempered Glass,47.6,2,ATX,True,350,True
Antec FLUX,104.99,ATX Mid Tower,Black / Brown,0.0,Tempered Glass,58.1,2,ATX,True,350,True
Lian Li A3-mATX,72.98,MicroATX Mini Tower,White,0.0,Mesh,26.3,1,MicroATX,True,300,True
Cooler Master MasterBox NR200P V2,109.99,Mini ITX Desktop,Black,0.0,Mesh,20.1,1,Mini ITX,True,280,True
Montech KING 95 PRO,139.0,ATX Mid Tower,White,0.0,Tempered Glass,63.0,5,ATX,True,350,True
Corsair 9000D RGB AIRFLOW,519.99,ATX Full Tower,Black,0.0,Tempered Glass,149.6,5,ATX,True,400,True
Thermaltake V100 Perforated,49.99,ATX Mid Tower,Black,0.0,Unknown,36.6,2,ATX,True,350,True
Mars Gaming MC-S2,79.34,ATX Mid Tower,White,0.0,Acrylic,19.5,1,ATX,True,350,True
Corsair FRAME 4000D RS,94.99,ATX Mid Tower,Black,0.0,Tempered Glass,56.7,2,ATX,True,350,True
Fractal Design Focus 2,74.99,ATX Mid Tower,Black,0.0,Unknown,45.8,2,ATX,True,350,True
Asus ROG Strix Helios,234.97,ATX Full Tower,Black,0.0,Tempered Glass,83.5,2,ATX,True,400,True
Deepcool CH260,,MicroATX Desktop,Black,0.0,Tempered Glass,30.8,1,MicroATX,True,280,True
Fractal Design Pop Air RGB,99.99,ATX Mid Tower,Black,0.0,Tempered Glass,46.2,2,ATX,True,350,True
Zalman CUBIX,37.99,MicroATX Mini Tower,Black,0.0,Unknown,31.35,1,MicroATX,True,300,True
Deepcool CG530 4F,,ATX Mid Tower,Black,0.0,Tinted Acrylic,50.0,2,ATX,True,350,True
NZXT H9 Flow (2025),164.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,76.7,2,ATX,True,350,True
Montech KING 65 PRO,94.99,ATX Mid Tower,Black,0.0,Tempered Glass,63.0,2,ATX,True,350,True
Deepcool CC560 V2,,ATX Mid Tower,Black,0.0,Tempered Glass,44.9,2,ATX,True,350,True
Fractal Design Define R5,124.99,ATX Mid Tower,Black,0.0,Unknown,54.2,8,ATX,True,350,True
NZXT H510,,ATX Mid Tower,Black,0.0,Tempered Glass,41.3,2,ATX,True,350,True
Lian Li Vector V100R,,ATX Mid Tower,Black,0.0,Tempered Glass,53.2,1,ATX,True,350,True
Cooler Master MasterBox Q300L,36.99,MicroATX Mini Tower,White,0.0,Acrylic,33.6,1,MicroATX,True,300,True
NZXT H9 Flow RGB+ (2025),289.99,ATX Mid Tower,White,0.0,Tempered Glass,76.7,2,ATX,True,350,True
Cooler Master Q300L V2,55.98,MicroATX Mini Tower,Black,0.0,Tempered Glass,34.1,1,MicroATX,True,300,True
Antec C8 Wood,119.99,ATX Full Tower,Black / Brown,0.0,Tempered Glass,66.9,2,ATX,True,400,True
Lian Li O11 Dynamic Mini,229.0,ATX Mid Tower,Black,0.0,Tempered Glass,43.0,2,ATX,True,350,True
Montech AIR 100 ARGB,69.98,MicroATX Mid Tower,White,0.0,Tempered Glass,36.1,2,MicroATX,True,330,True
HYTE Y60,179.99,ATX Mid Tower,Black,0.0,Tempered Glass,60.0,2,ATX,True,350,True
MUSETEX K2,74.98,ATX Mid Tower,Black,0.0,Tempered Glass,44.4,2,ATX,True,350,True
Fractal Design Ridge PCIe 4.0,142.97,Mini ITX Tower,White,0.0,Mesh,16.3,0,Mini ITX,True,320,True
HYTE Y70 Touch Infinite,399.99,ATX Mid Tower,White / Black,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Zalman S2,49.98,ATX Mid Tower,Black,0.0,Acrylic,38.4,2,ATX,True,350,True
Fractal Design North XL,179.99,ATX Full Tower,White,0.0,Tempered Glass,61.4,2,ATX,True,400,True
Zalman T8,42.95,ATX Mid Tower,Black,0.0,Unknown,33.4,2,ATX,True,350,True
Jonsbo C6-ITX,62.0,Mini ITX Desktop,Black,0.0,Mesh,15.9,1,Mini ITX,True,280,True
Lian Li A4-H20 A4,154.99,Mini ITX Desktop,Silver / Black,0.0,Mesh,11.1,0,Mini ITX,True,280,True
MSI MAG FORGE M100R,,MicroATX Mini Tower,Black,0.0,Tempered Glass,32.8,2,MicroATX,True,300,True
NZXT H510,,ATX Mid Tower,White,0.0,Tempered Glass,41.3,2,ATX,True,350,True
Deepcool CH370,,MicroATX Mid Tower,Black,0.0,Tempered Glass,38.3,2,MicroATX,True,330,True
GameMax Nova N5,50.99,ATX Mid Tower,Black,0.0,Tempered Glass,37.6,2,ATX,True,350,True
Lian Li LANCOOL III RGB,179.99,ATX Mid Tower,Black,0.0,Tempered Glass,65.5,4,ATX,True,350,True
SAMA SV01,79.99,ATX Mid Tower,Black,0.0,Tempered Glass,43.5,2,ATX,True,350,True
be quiet! Pure Base 500DX,109.9,ATX Mid Tower,Black,0.0,Tempered Glass,48.3,2,ATX,True,350,True
NZXT H3 Flow,69.98,MicroATX Mid Tower,White,0.0,Tempered Glass,35.0,1,MicroATX,True,330,True
NZXT H5 Flow RGB (2024),89.99,ATX Mid Tower,White,0.0,Tempered Glass,45.0,1,ATX,True,350,True
Fractal Design Torrent,204.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,69.8,2,ATX,True,350,True
Montech AIR 100 LITE,79.98,MicroATX Mid Tower,Black,0.0,Tempered Glass,36.1,2,MicroATX,True,330,True
Lian Li PC-O11 Dynamic,,ATX Full Tower,Black,0.0,Tempered Glass,54.0,3,ATX,True,400,True
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,0.0,Tempered Glass,26.3,1,MicroATX,True,300,True
Thermaltake Versa H16 ARGB,54.99,MicroATX Mini Tower,Black,0.0,Tempered Glass,33.0,2,MicroATX,True,300,True
Lian Li O11 Dynamic Mini Snow Edition,,ATX Mid Tower,White,0.0,Tempered Glass,43.0,2,ATX,True,350,True
GameMax Vista M,53.9,MicroATX Mini Tower,Black,0.0,Tempered Glass,40.9,2,MicroATX,True,300,True
Phanteks Eclipse G370A,56.98,ATX Mid Tower,Black,0.0,Tempered Glass,48.7,0,ATX,True,350,True
Thermaltake View 170 ARGB,67.99,MicroATX Mini Tower,White,0.0,Tempered Glass,35.0,1,MicroATX,True,300,True
Montech AIR 903 BASE,69.0,ATX Mid Tower,White,0.0,Tempered Glass,54.2,2,ATX,True,350,True
MSI MAG PANO 100R PZ,159.99,ATX Mid Tower,Black,0.0,Tempered Glass,72.5,2,ATX,True,350,True
GAMDIAS TALOS E3 MESH,59.99,ATX Mid Tower,Black,0.0,Tempered Glass,34.1,2,ATX,True,350,True
Antec NX200M,92.97,MicroATX Mid Tower,Black,0.0,Tempered Glass,35.4,2,MicroATX,True,330,True
MSI MAG FORGE 320R AIRFLOW,,ATX Mid Tower,Black,0.0,Tempered Glass,49.4,2,ATX,True,350,True
Fractal Design Meshify 2,164.99,ATX Mid Tower,Black,0.0,Unknown,61.7,6,ATX,True,350,True
Fractal Design Node 804,134.99,MicroATX Mid Tower,Black,0.0,Acrylic,41.1,10,MicroATX,True,330,True
Phanteks NV5 MKII,120.98,ATX Mid Tower,Black,0.0,Tempered Glass,60.2,3,ATX,True,350,True
Phanteks EVOLV X2,174.98,ATX Mid Tower,Black,0.0,Tempered Glass,60.9,2,ATX,True,350,True
NZXT H7 Flow RGB (2024),149.99,ATX Mid Tower,Black,0.0,Tempered Glass,62.1,2,ATX,True,350,True
Cooler Master MasterBox NR200,89.99,Mini ITX Desktop,White / Black,0.0,Unknown,20.3,2,Mini ITX,True,280,True
HYTE Y40,129.99,ATX Mid Tower,Black,0.0,Tempered Glass,49.7,1,ATX,True,350,True
Montech X5,75.0,ATX Mid Tower,Black,0.0,Tempered Glass,51.6,2,ATX,True,350,True
HAVN HS420,229.99,ATX Mid Tower,Black,0.0,Tempered Glass,76.8,5,ATX,True,350,True
Thermaltake Versa H18,54.99,MicroATX Mini Tower,Black,0.0,Tempered Glass,30.4,2,MicroATX,True,300,True
Corsair iCUE 4000X RGB,144.99,ATX Mid Tower,Black,0.0,Tempered Glass,48.6,2,ATX,True,350,True
Fractal Design Meshify 3,154.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,50.3,2,ATX,True,350,True
Fractal Design North,154.97,ATX Mid Tower,White,0.0,Mesh,45.1,2,ATX,True,350,True
Thermaltake Core V1,53.68,Mini ITX Desktop,Black,0.0,Unknown,22.4,2,Mini ITX,True,280,True
HYTE Y60 Snow White,179.99,ATX Mid Tower,White,0.0,Tempered Glass,60.0,2,ATX,True,350,True
Fractal Design Node 304,109.99,Mini ITX Tower,Black / White,0.0,Unknown,19.5,6,Mini ITX,True,320,True
Cooler Master MasterBox TD500 Mesh V2,107.89,ATX Mid Tower,Unknown,0.0,Tempered Glass,52.4,2,ATX,True,350,True
Lian Li Lancool 207 Digital,104.99,ATX Mid Tower,Black,0.0,Tempered Glass,45.5,2,ATX,True,350,True
Corsair 6500X,199.99,ATX Mid Tower,Black,0.0,Tempered Glass,78.3,2,ATX,True,350,True
Deepcool MATREXX 40 3FS,,MicroATX Mini Tower,Black,0.0,Tempered Glass,31.35,2,MicroATX,True,300,True
Lian Li O11 Dynamic EVO,,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,60.8,6,ATX,True,350,True
MSI MAG PANO 100R PZ,159.99,ATX Mid Tower,White,0.0,Tempered Glass,72.5,2,ATX,True,350,True
Montech X5M,56.0,MicroATX Mini Tower,White,0.0,Tempered Glass,45.3,2,MicroATX,True,300,True
Fractal Design Pop Mini Air,99.99,MicroATX Mid Tower,White,0.0,Tempered Glass,36.5,2,MicroATX,True,330,True
MSI MAG FORGE 120A AIRFLOW,,ATX Mid Tower,Black,0.0,Tempered Glass,43.0,3,ATX,True,350,True
DIYPC DIY-S07,43.97,ATX Mid Tower,Black,0.0,Acrylic,27.5,2,ATX,True,350,True
Thermaltake Versa H17,49.99,MicroATX Mini Tower,Black,0.0,Unknown,30.4,2,MicroATX,True,300,True
Jonsbo TK-0,129.99,Mini ITX Desktop,Black,0.0,Tempered Glass,16.4,1,Mini ITX,True,280,True
Aerocool CS-107 RGB,,MicroATX Mini Tower,Black,0.0,Tempered Glass,23.7,1,MicroATX,True,300,True
Deepcool CH370,,MicroATX Mid Tower,White,0.0,Tempered Glass,38.3,2,MicroATX,True,330,True
Thermaltake Versa H21,47.99,ATX Mid Tower,Black,0.0,Unknown,42.8,3,ATX,True,350,True
Corsair 2500X,145.13,MicroATX Mini Tower,Black,0.0,Tempered Glass,54.8,2,MicroATX,True,300,True
Thermaltake View 270 Plus TG ARGB,89.99,ATX Mid Tower,White,0.0,Tempered Glass,47.6,2,ATX,True,350,True
Lian Li PC-O11 Dynamic,,ATX Full Tower,White,0.0,Tempered Glass,54.0,3,ATX,True,400,True
HYTE Y70,219.99,ATX Mid Tower,Pink,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Antec AX20,98.32,ATX Mid Tower,Black,0.0,Tempered Glass,33.4,2,ATX,True,350,True
Deepcool CH160,,Mini ITX Desktop,White,0.0,Tempered Glass,19.1,1,Mini ITX,True,280,True
Montech AIR 903 MAX,89.99,ATX Mid Tower,White,0.0,Tempered Glass,54.2,2,ATX,True,350,True
Fractal Design Define 7,194.99,ATX Mid Tower,Black,0.0,Unknown,62.4,6,ATX,True,350,True
Aerocool Bolt Mini Glass,,MicroATX Mini Tower,Black,0.0,Tempered Glass,31.35,2,MicroATX,True,300,True
MSI MAG FORGE 100R,157.02,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
NZXT H7 Flow (2024),109.99,ATX Mid Tower,White,0.0,Tempered Glass,62.1,2,ATX,True,350,True
FormD T1 V2.1 CNC Anodized,,Mini ITX Desktop,Black,0.0,Mesh,15.9,0,Mini ITX,True,280,True
Fractal Design Meshify 2 XL,219.99,ATX Full Tower,Black,0.0,Tinted Tempered Glass,81.5,6,ATX,True,400,True
Corsair 3500X,89.99,ATX Mid Tower,White,0.0,Tempered Glass,55.9,2,ATX,True,350,True
Corsair FRAME 4000D RS ARGB,124.99,ATX Mid Tower,White,0.0,Tempered Glass,56.7,2,ATX,True,350,True
MSI MAG FORGE 112R,89.99,ATX Mid Tower,Black,0.0,Tempered Glass,42.5,2,ATX,True,350,True
Lian Li O11 Vision Chrome,164.0,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,67.8,2,ATX,True,350,True
HAVN HS420 VGPU,299.99,ATX Mid Tower,Black,0.0,Tempered Glass,76.8,5,ATX,True,350,True
Corsair iCUE 4000X RGB,86.99,ATX Mid Tower,White,0.0,Tempered Glass,48.6,2,ATX,True,350,True
Asus Prime AP201,79.98,MicroATX Mini Tower,White,0.0,Mesh,33.0,3,MicroATX,True,300,True
Lian Li ODYSSEY X,1486.88,ATX Full Tower,Silver / Black,0.0,Tempered Glass,74.8,3,ATX,True,400,True
Lian Li Vector V100R,94.0,ATX Mid Tower,White,0.0,Tempered Glass,53.2,1,ATX,True,350,True
Thermaltake The Tower 300,99.99,MicroATX Mini Tower,Black,0.0,Tempered Glass,53.0,3,MicroATX,True,300,True
Asus TUF Gaming GT502,179.97,ATX Mid Tower,Black,0.0,Tempered Glass,57.2,4,ATX,True,350,True
Thermaltake The Tower 600,169.99,ATX Mid Tower,Black,0.0,Tempered Glass,66.2,1,ATX,True,350,True
Jonsbo D32 STD,,MicroATX Desktop,Black,0.0,Tempered Glass,25.7,1,MicroATX,True,280,True
Corsair iCUE LINK 3500X RGB,159.99,ATX Mid Tower,Black,0.0,Tempered Glass,55.9,2,ATX,True,350,True
Corsair 3000D RGB AIRFLOW,124.99,ATX Mid Tower,Black,0.0,Tempered Glass,49.5,2,ATX,True,350,True
Cooler Master N400,64.99,ATX Mid Tower,Black,0.0,Unknown,40.2,7,ATX,True,350,True
Asus Prime AP201,83.99,MicroATX Mini Tower,Black,0.0,Tempered Glass,33.0,3,MicroATX,True,300,True
Lian Li LANCOOL 216 RGB,105.97,ATX Mid Tower,White,0.0,Tempered Glass,55.6,2,ATX,True,350,True
NZXT H9 Flow (2025),159.99,ATX Mid Tower,White,0.0,Tempered Glass,76.7,2,ATX,True,350,True
Fractal Design Define 7 XL,224.99,ATX Full Tower,Black,0.0,Unknown,82.0,6,ATX,True,400,True
be quiet! Pure Base 501 Airflow,106.99,ATX Mid Tower,Black,0.0,Unknown,48.1,2,ATX,True,350,True
Cooler Master N200,59.99,MicroATX Mini Tower,Black,0.0,Unknown,33.8,2,MicroATX,True,300,True
Fractal Design Pop Air,84.99,ATX Mid Tower,Black,0.0,Unknown,46.2,2,ATX,True,350,True
BGears b-Vortex-RGB,48.99,ATX Mid Tower,Black,0.0,Tempered Glass,38.3,2,ATX,True,350,True
Lian Li LANCOOL 205M MESH,89.99,MicroATX Mini Tower,Black,0.0,Tempered Glass,33.8,2,MicroATX,True,300,True
Jonsbo N4,119.99,MicroATX Desktop,Black / Brown,0.0,Mesh,19.6,6,MicroATX,True,280,True
be quiet! Light Base 600 LX,179.9,ATX Mid Tower,Black,0.0,Tempered Glass,59.7,1,ATX,True,350,True
BGears b-Pellucid,54.99,MicroATX Mini Tower,Black,0.0,Tinted Tempered Glass,36.6,1,MicroATX,True,300,True
Vetroo AL900,84.99,ATX Mid Tower,Pink,0.0,Tempered Glass,48.1,0,ATX,True,350,True
Deepcool MATREXX 30,,MicroATX Mini Tower,Black,0.0,Tempered Glass,29.6,3,MicroATX,True,300,True
Lian Li O11 Dynamic EVO,,ATX Mid Tower,White / Gray,0.0,Tempered Glass,60.8,6,ATX,True,350,True
Aerocool P500C,,ATX Mid Tower,Black,0.0,Mesh,54.0,2,ATX,True,350,True
Phanteks XT PRO ULTRA,81.98,ATX Mid Tower,White,0.0,Tempered Glass,51.8,2,ATX,True,350,True
Deepcool CG530 4F,,ATX Mid Tower,White,0.0,Tinted Acrylic,50.0,2,ATX,True,350,True
Phanteks Eclipse G400A,,ATX Mid Tower,Black,0.0,Tempered Glass,59.4,2,ATX,True,350,True
Thermaltake View 380 ARGB,103.99,ATX Mid Tower,Black,0.0,Tinted Tempered Glass,51.6,1,ATX,True,350,True
Fractal Design Pop XL Silent,109.99,ATX Full Tower,Black,0.0,Unknown,62.4,3,ATX,True,400,True
HYTE Y70 Touch Infinite,419.99,ATX Mid Tower,Red / Black,0.0,Tempered Glass,70.7,2,ATX,True,350,True
Corsair iCUE 7000X RGB,359.99,ATX Full Tower,Black,0.0,Tempered Glass,81.8,6,ATX,True,400,True
SAMA SV01,79.99,ATX Mid Tower,White,0.0,Tempered Glass,43.5,2,ATX,True,350,True
PC Cooler I100 PRO MESH,101.69,Mini ITX Desktop,Gray,0.0,Mesh,7.5,1,Mini ITX,True,280,True
Montech X3 Mesh,69.98,ATX Mid Tower,White,0.0,Tempered Glass,45.8,2,ATX,True,350,True
