name,price,type,color,psu,side_panel,external_volume,internal_35_bays,form_factor_family,has_builtin_psu,estimated_max_gpu_length,is_estimated_gpu_clearance
Cougar Blazer,,ATX Mid Tower,Black / Orange,0.0,Tempered Glass,45.8,3,ATX,True,350,True
Aerocool Aero One Mini Eclipse,,MicroATX Mini Tower,White / Black,0.0,Tempered Glass,31.35,2,MicroATX,True,300,True
darkFlash DLX22,,ATX Mid Tower,White,0.0,Tempered Glass,45.8,2,ATX,True,350,True
SilentiumPC Armis AR7,,ATX Mid Tower,Black,0.0,Tempered Glass,63.9,3,ATX,True,350,True
SilentiumPC Signum SG1X EVO TG ARGB,,ATX Mid Tower,Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Montech X2 Mesh,,ATX Mid Tower,White,0.0,Tempered Glass,32.3,2,ATX,True,350,True
Apevia Prodigy,,MicroATX Mini Tower,White,0.0,Tempered Glass,32.5,2,MicroATX,True,300,True
Aerocool Trinity Mini V1,,MicroATX Mini Tower,Black,0.0,Tempered Glass,28.1,2,MicroATX,True,300,True
Vetroo A03,,ATX Mid Tower,Pink / Black,0.0,Tempered Glass,45.8,2,ATX,True,350,True
Vetroo M01,,MicroATX Mid Tower,Pink / Black,0.0,Tempered Glass,36.6,2,MicroATX,True,330,True
DIYPC IDX6,,ATX Mid Tower,Black,0.0,Tempered Glass,52.9,2,ATX,True,350,True
NZXT H510i Rivals,,ATX Mid Tower,Yellow / Black,0.0,Tempered Glass,41.3,2,ATX,True,350,True
Cougar MX430 Air RGB,,ATX Mid Tower,White / Black,0.0,Tempered Glass,37.6,2,ATX,True,350,True
GameMax Contac Turbo COC,,ATX Mid Tower,Black / Gray,0.0,Tempered Glass,43.0,2,ATX,True,350,True
